year,median_sale
1963,18050.0
1964,18925.0
1965,20125.0
1966,21500.0
1967,22750.0
1968,24800.0
1969,25600.0
1970,23475.0
1971,25225.0
1972,27525.0
1973,32600.0
1974,36050.0
1975,39275.0
1976,44225.0
1977,48900.0
1978,55850.0
1979,62750.0
1980,64750.0
1981,68950.0
1982,69225.0
1983,75375.0
1984,79950.0
1985,84275.0
1986,92025.0
1987,104700.0
1988,112225.0
1989,120425.0
1990,122300.0
1991,119975.0
1992,121375.0
1993,126500.0
1994,130425.0
1995,133475.0
1996,140250.0
1997,145000.0
1998,151925.0
1999,160125.0
2000,167550.0
2001,173100.0
2002,186025.0
2003,192125.0
2004,218150.0
2005,236550.0
2006,243750.0
2007,244950.0
2008,229550.0
2009,215650.0
2010,222700.0
2011,224900.0
2012,244400.0
2013,266225.0
2014,285775.0
2015,294150.0
2016,305125.0
2017,322425.0
2018,325275.0
2019,320250.0
2020,328150.0
2021,383000.0
2022,432950.0
2023,426525.000000
2024,420566.666667
1963,18050.000000
1964,18925.000000
1965,20125.000000
1966,21500.000000
1967,22750.000000
1968,24800.000000
1969,25600.000000
1970,23475.000000
1971,25225.0
1972,27525.0
1973,32600.0
1974,36050.0
1975,39275.0
1976,44225.0
1977,48900.0
1978,55850.0
1979,62750.0
1980,64750.0
1981,68950.0
1982,69225.0
1983,75375.0
1984,79950.0
1985,84275.0
1986,92025.0
1987,104700.0
1988,112225.0
1989,120425.0
1990,122300.0
1991,119975.0
1992,121375.0
1993,126500.0
1994,130425.0
1995,133475.0
1996,140250.0
1997,145000.0
1998,151925.0
1999,160125.0
2000,167550.0
2001,173100.0
2002,186025.0
2003,192125.0
2004,218150.0
2005,236550.0
2006,243750.0
2007,244950.0
2008,229550.0
2009,215650.0
2010,222700.0
2011,224900.0
2012,244400.0
2013,266225.0
2014,285775.0
2015,294150.0
2016,305125.0
2017,322425.0
2018,325275.0
2019,320250.0
2020,328150.0
2021,383000.000000
2022,432950.000000
2023,426525.000000
2024,420566.666667
1963,18050.000000
1964,18925.000000
1965,20125.000000
1966,21500.000000
1967,22750.000000
1968,24800.000000
1969,25600.0
1970,23475.0
1971,25225.0
1972,27525.0
1973,32600.0
1974,36050.0
1975,39275.0
1976,44225.0
1977,48900.0
1978,55850.0
1979,62750.0
1980,64750.0
1981,68950.0
1982,69225.0
1983,75375.0
1984,79950.0
1985,84275.0
1986,92025.0
1987,104700.0
1988,112225.0
1989,120425.0
1990,122300.0
1991,119975.0
1992,121375.0
1993,126500.0
1994,130425.0
1995,133475.0
1996,140250.0
1997,145000.0
1998,151925.0
1999,160125.0
2000,167550.0
2001,173100.0
2002,186025.0
2003,192125.0
2004,218150.0
2005,236550.0
2006,243750.0
2007,244950.0
2008,229550.0
2009,215650.0
2010,222700.0
2011,224900.0
2012,244400.0
2013,266225.0
2014,285775.0
2015,294150.0
2016,305125.0
2017,322425.0
2018,325275.0
2019,320250.000000
2020,328150.000000
2021,383000.000000
2022,432950.000000
2023,426525.000000
2024,420566.666667
